iter	Logloss
0	0.6809196253
1	0.6684621065
2	0.6584884144
3	0.6485893024
4	0.6387681341
5	0.627070192
6	0.6168633282
7	0.6083528964
8	0.5988312442
9	0.5886299839
10	0.5794217932
11	0.5708661142
12	0.5636053812
13	0.5542372493
14	0.5445727977
15	0.5373305906
16	0.5284892638
17	0.519433366
18	0.5118719303
19	0.5051180813
20	0.4982450047
21	0.4905456524
22	0.4827950785
23	0.4763811108
24	0.4700649536
25	0.4643596046
26	0.4584155058
27	0.4521594114
28	0.4471447456
29	0.4416112052
30	0.4364691843
31	0.430351106
32	0.4249516728
33	0.4198616233
34	0.4149064719
35	0.4101695765
36	0.4052994874
37	0.4005897134
38	0.3963693267
39	0.3919172843
40	0.3881115969
41	0.383542924
42	0.3797290514
43	0.3762057325
44	0.372130166
45	0.3682682291
46	0.3641284063
47	0.3596778974
48	0.3557831673
49	0.3525608423
50	0.3494669009
51	0.3460574884
52	0.3427828552
53	0.3395407326
54	0.3363991008
55	0.3336020707
56	0.3305492718
57	0.3273028873
58	0.3246194913
59	0.3217091853
60	0.3190227498
61	0.3159689199
62	0.3134186711
63	0.3111701081
64	0.3088749877
65	0.3064408495
66	0.3038707137
67	0.3011270758
68	0.2985718083
69	0.2962779636
70	0.2943300128
71	0.2920797211
72	0.289391478
73	0.2870684493
74	0.2846734554
75	0.2826857095
76	0.2803999376
77	0.2785743161
78	0.2765764436
79	0.2745609592
80	0.2721457866
81	0.2701410634
82	0.2681495908
83	0.2662729437
84	0.2645213923
85	0.2629773044
86	0.2614717625
87	0.25953517
88	0.2582100366
89	0.2566635699
90	0.2551187278
91	0.2535846117
92	0.2521560034
93	0.2509322917
94	0.2493390229
95	0.2479614629
96	0.2466150448
97	0.245403594
98	0.2441516635
99	0.242605303
100	0.2412840906
101	0.2398533785
102	0.2386304857
103	0.2371824396
104	0.2357460729
105	0.234298597
106	0.2328967525
107	0.2320843893
108	0.2308550229
109	0.2296550142
110	0.2286058534
111	0.2272950322
112	0.2263220193
113	0.2250423572
